,Date,Open,High,Low,Close,Adj Close,Volume
0,2010-01-04,162.0,164.399994,160.199997,163.5,148.848175,5677267.0
1,2010-01-05,165.100006,179.800003,164.0,175.199997,159.49963400000001,32066373.0
2,2010-01-06,175.850006,175.899994,168.75,171.050003,155.721542,18459749.0
3,2010-01-07,175.149994,176.75,171.899994,175.149994,159.45413200000002,15284125.0
4,2010-01-08,175.0,176.899994,172.5,173.300003,157.76994299999998,10197755.0
5,2010-01-11,174.5,176.699997,170.600006,171.699997,156.313309,11270777.0
6,2010-01-12,172.0,173.0,166.5,167.850006,152.808304,14443143.0
7,2010-01-13,164.949997,172.199997,164.300003,171.149994,155.812576,16146039.0
8,2010-01-14,172.0,172.899994,169.5,170.850006,155.53949,7547095.0
9,2010-01-15,171.0,171.75,165.75,166.600006,151.670334,4959476.0
10,2010-01-18,166.199997,168.899994,165.399994,167.25,152.262085,7243749.0
11,2010-01-19,166.0,168.949997,162.0,163.0,148.392929,7199947.0
12,2010-01-20,163.0,167.149994,162.600006,165.75,150.896515,8116917.0
13,2010-01-21,165.0,165.75,161.699997,162.850006,148.256378,12563207.0
14,2010-01-22,160.100006,163.100006,155.25,161.350006,146.890823,13929809.0
15,2010-01-25,161.100006,165.699997,157.25,159.199997,144.933472,16233827.0
16,2010-01-27,156.5,157.399994,148.649994,150.050003,136.60343899999998,11669010.0
17,2010-01-28,150.649994,156.350006,145.800003,148.0,134.737167,10480370.0
18,2010-01-29,147.0,149.0,139.800003,147.350006,134.145401,12497942.0
19,2010-02-01,145.0,151.5,142.199997,149.399994,136.011673,11674392.0
20,2010-02-02,152.0,155.75,150.25,151.050003,137.513794,17608116.0
21,2010-02-03,152.100006,157.449997,152.100006,156.25,142.247849,8298172.0
22,2010-02-04,147.0,155.0,144.199997,146.149994,133.052948,9673582.0
23,2010-02-05,142.399994,143.449997,136.300003,138.149994,125.769821,14972307.0
25,2010-02-08,137.0,143.800003,133.699997,136.199997,123.994583,19708455.0
26,2010-02-09,137.0,138.25,133.550003,134.399994,122.35588100000001,18330897.0
27,2010-02-10,136.0,140.75,135.0,136.5,124.267715,14882092.0
28,2010-02-11,137.25,140.350006,137.0,138.25,125.860863,7393889.0
29,2010-02-15,139.0,141.699997,137.649994,140.850006,128.227905,10201088.0
30,2010-02-16,141.899994,146.5,139.5,145.399994,132.370148,8799233.0
31,2010-02-17,147.899994,154.800003,147.449997,152.75,139.06149299999998,17420796.0
32,2010-02-18,153.399994,154.800003,150.300003,152.600006,138.924911,19301034.0
33,2010-02-19,151.0,152.25,146.399994,149.899994,136.466858,16060506.0
34,2010-02-22,151.899994,156.5,151.899994,154.149994,140.336044,13256828.0
35,2010-02-23,153.5,156.399994,151.850006,154.800003,140.927765,11954477.0
36,2010-02-24,154.0,158.399994,151.899994,155.0,141.109848,14604618.0
37,2010-02-25,156.0,156.949997,152.100006,153.350006,139.60771200000002,10630962.0
38,2010-02-26,154.0,164.899994,153.350006,162.649994,148.07428000000002,22690392.0
39,2010-03-02,164.0,172.800003,163.600006,169.25,154.08286999999999,16002606.0
40,2010-03-03,170.0,172.649994,168.649994,171.449997,156.085693,12093085.0
41,2010-03-04,171.0,171.0,167.149994,169.199997,154.037308,9418953.0
42,2010-03-05,169.0,172.5,167.399994,168.0,152.94487,8038800.0
43,2010-03-08,170.100006,171.100006,165.149994,166.199997,151.306152,6279658.0
44,2010-03-09,167.800003,167.800003,161.5,162.100006,147.573608,7726110.0
45,2010-03-10,163.0,165.199997,160.75,162.699997,148.119797,6348450.0
46,2010-03-11,162.899994,162.899994,158.149994,159.75,145.434174,8638775.0
47,2010-03-12,160.800003,166.649994,159.800003,165.050003,150.25921599999998,13238296.0
48,2010-03-15,165.0,168.0,162.600006,165.649994,150.805466,8289897.0
49,2010-03-16,160.399994,170.350006,160.399994,169.550003,154.355972,7951866.0
50,2010-03-17,169.300003,174.699997,169.300003,173.449997,157.906464,11135993.0
51,2010-03-18,175.0,177.800003,172.550003,176.350006,160.5466,9317430.0
52,2010-03-19,176.600006,177.899994,174.300003,175.600006,159.863815,5724048.0
53,2010-03-22,174.0,174.850006,168.600006,169.25,154.08286999999999,6053740.0
54,2010-03-23,170.100006,171.699997,168.100006,170.449997,155.175308,5860011.0
55,2010-03-25,169.800003,180.0,169.100006,177.649994,161.730103,19185843.0
56,2010-03-26,178.0,180.449997,176.550003,178.649994,162.640472,6747907.0
57,2010-03-29,170.199997,185.949997,170.199997,184.25,167.738647,11598451.0
58,2010-03-30,184.800003,186.899994,183.399994,183.949997,167.46551499999998,8173731.0
59,2010-03-31,184.0,185.300003,179.600006,181.25,165.007462,10320209.0
60,2010-04-01,182.0,184.699997,180.600006,183.75,167.283447,5545989.0
61,2010-04-05,184.0,187.949997,183.899994,187.25,170.469788,5644992.0
62,2010-04-06,187.25,188.399994,183.75,184.600006,168.05728100000002,4279282.0
63,2010-04-07,184.600006,186.649994,182.699997,184.600006,168.05728100000002,4052396.0
64,2010-04-08,184.699997,185.0,175.649994,176.5,160.683151,7047391.0
65,2010-04-09,177.0,180.800003,177.0,178.800003,162.77702299999999,4913419.0
66,2010-04-12,180.5,193.0,179.0,180.25,164.097107,5309602.0
67,2010-04-13,180.300003,181.399994,176.5,178.350006,162.367386,4145545.0
68,2010-04-15,179.199997,182.25,175.800003,176.75,160.910751,4625447.0
69,2010-04-16,178.0,178.0,171.949997,174.5,158.86236599999998,6664000.0
70,2010-04-19,173.0,178.949997,170.0,178.199997,162.230789,12455984.0
71,2010-04-20,178.899994,182.25,178.25,181.699997,165.41716,8587205.0
72,2010-04-21,182.5,183.649994,179.399994,179.800003,163.68743899999998,5585171.0
73,2010-04-22,179.0,182.149994,176.800003,179.75,163.641907,6094865.0
74,2010-04-23,179.75,180.5,177.75,178.199997,162.230789,4148358.0
75,2010-04-26,178.300003,185.199997,178.300003,184.149994,167.647598,6101678.0
76,2010-04-27,184.0,184.800003,182.149994,183.75,167.283447,5788376.0
77,2010-04-28,180.0,180.899994,171.199997,179.300003,163.232224,4410958.0
78,2010-04-29,180.350006,181.25,178.550003,180.300003,164.142639,3742301.0
79,2010-04-30,179.949997,181.25,177.75,178.5,162.50389099999998,5092041.0
80,2010-05-03,176.0,176.699997,171.399994,172.949997,157.451279,7007902.0
81,2010-05-04,173.25,174.5,161.649994,162.949997,148.34741200000002,9213219.0
82,2010-05-05,158.0,165.0,157.699997,163.649994,148.98468,12121034.0
83,2010-05-06,163.5,164.949997,158.5,164.0,149.303314,8407320.0
84,2010-05-07,161.0,164.850006,158.0,163.0,148.392929,8305759.0
85,2010-05-10,164.0,176.25,164.0,175.449997,159.727234,11428497.0
86,2010-05-11,178.0,178.0,168.600006,169.949997,154.720123,10787989.0
87,2010-05-12,170.25,173.350006,167.149994,170.649994,155.357407,8811855.0
88,2010-05-13,171.0,172.899994,168.100006,169.25,154.08286999999999,5452913.0
89,2010-05-14,168.0,169.949997,162.699997,163.399994,148.75705,5912915.0
90,2010-05-17,161.800003,166.300003,158.199997,163.850006,149.16674799999998,8852193.0
91,2010-05-18,163.5,165.399994,160.149994,162.850006,148.256378,7653429.0
92,2010-05-19,160.0,162.75,154.699997,156.5,142.475418,7369071.0
93,2010-05-20,158.0,159.25,154.199997,156.550003,142.520966,7011103.0
94,2010-05-21,154.0,154.0,148.699997,151.649994,138.06002800000002,11850986.0
95,2010-05-24,152.100006,155.649994,144.199997,145.600006,132.552216,8318493.0
96,2010-05-25,142.0,144.899994,135.649994,137.75,125.405685,14806296.0
97,2010-05-26,139.0,149.5,138.600006,148.199997,134.91923500000001,18968080.0
98,2010-05-27,146.0,149.550003,143.649994,148.399994,135.101303,16103054.0
99,2010-05-28,150.899994,155.699997,149.300003,150.899994,137.377258,20244094.0
100,2010-05-31,150.899994,150.899994,145.600006,150.25,136.785507,9454632.0
101,2010-06-01,149.699997,150.949997,142.850006,143.600006,130.731445,11739507.0
102,2010-06-02,143.0,145.300003,139.600006,142.699997,129.91210900000002,14440374.0
103,2010-06-03,145.0,147.5,144.25,145.949997,132.87085,11215040.0
104,2010-06-04,146.0,148.800003,143.600006,147.600006,134.373001,19675237.0
105,2010-06-07,142.0,144.899994,135.0,140.649994,128.045822,12602534.0
106,2010-06-08,141.0,142.449997,131.300003,132.149994,120.30751799999999,21279339.0
107,2010-06-09,134.199997,136.25,129.350006,132.949997,121.03582,40781259.0
108,2010-06-10,134.699997,139.199997,132.699997,138.5,126.088486,28929979.0
109,2010-06-11,140.0,141.449997,137.399994,139.5,126.998848,23380410.0
110,2010-06-14,141.449997,144.0,140.050003,143.25,130.412781,14760925.0
111,2010-06-15,143.800003,145.399994,141.5,144.75,131.77839699999998,10650397.0
112,2010-06-16,146.0,147.699997,143.949997,145.149994,132.14253200000002,14186472.0
113,2010-06-17,145.949997,147.800003,142.350006,146.75,133.599167,13790916.0
114,2010-06-18,146.0,146.600006,142.550003,145.350006,132.324646,12393937.0
115,2010-06-21,147.550003,154.600006,146.800003,153.600006,139.835297,17769311.0
116,2010-06-22,153.0,153.350006,149.75,151.649994,138.06002800000002,12104604.0
117,2010-06-23,148.899994,153.300003,148.550003,152.0,138.378693,11656511.0
118,2010-06-24,151.699997,153.25,149.399994,151.0,137.468307,14169449.0
119,2010-06-25,151.0,151.399994,147.899994,148.5,135.192337,8872985.0
120,2010-06-28,149.899994,151.5,149.199997,150.649994,137.14965800000002,6726186.0
121,2010-06-29,149.800003,150.399994,142.5,144.199997,131.277695,14194437.0
122,2010-06-30,143.0,144.949997,140.75,144.5,131.550797,17415650.0
123,2010-07-01,143.0,143.899994,141.0,142.949997,130.139694,9715574.0
124,2010-07-02,142.949997,145.399994,141.600006,143.75,130.86801100000002,10262312.0
125,2010-07-05,144.800003,144.800003,141.25,141.649994,128.956192,4280612.0
126,2010-07-06,142.0,145.0,141.5,143.850006,130.95906100000002,7527587.0
127,2010-07-07,144.949997,144.949997,141.050003,142.0,129.274826,6342134.0
128,2010-07-08,142.5,145.449997,142.5,144.850006,131.8694,8500986.0
129,2010-07-09,145.0,149.899994,145.0,149.0,135.64750700000002,12103941.0
130,2010-07-12,149.0,151.5,148.550003,149.5,136.102707,6830506.0
131,2010-07-13,150.0,151.899994,148.25,151.300003,137.741425,8575696.0
132,2010-07-14,153.199997,154.800003,149.350006,150.649994,137.14965800000002,12395429.0
133,2010-07-15,150.0,151.850006,149.050003,150.899994,137.377258,8889649.0
134,2010-07-16,150.5,151.449997,149.899994,150.149994,136.694473,4468616.0
135,2010-07-19,148.0,153.350006,148.0,152.600006,138.924911,9645201.0
136,2010-07-20,153.0,155.399994,152.100006,152.800003,139.10701,7837473.0
137,2010-07-21,153.5,157.0,153.350006,156.449997,142.429901,8207899.0
138,2010-07-22,157.0,158.100006,155.350006,157.899994,143.749954,7704895.0
139,2010-07-23,158.800003,159.300003,157.0,158.100006,143.932053,7324402.0
