,Date,Open,High,Low,Close,Adj Close,Volume
0,2010-01-04,84.333298,85.0,83.449997,84.550003,62.131336,5161635.0
1,2010-01-05,84.933296,85.583298,84.233299,85.383301,62.74369,10767225.0
2,2010-01-06,86.233299,86.233299,84.533302,85.583298,62.89065600000001,7529979.0
3,2010-01-07,85.666702,86.166702,84.566704,85.316704,62.694752,4987434.0
4,2010-01-08,85.116699,86.166702,85.116699,85.5,62.829453,4881351.0
5,2010-01-11,85.833298,86.5,85.333298,85.533302,62.853908999999994,7201263.0
6,2010-01-12,85.583298,85.583298,83.033302,83.349998,61.249531000000005,15514101.0
7,2010-01-13,83.0,83.916702,82.333298,82.983299,60.980056999999995,12476064.0
8,2010-01-14,83.5,83.633301,82.333298,82.716698,60.78415699999999,12324480.0
9,2010-01-15,83.349998,84.400002,82.366699,84.25,61.910885,7839831.0
10,2010-01-18,84.266701,84.766701,83.333298,83.516701,61.372025,5642286.0
11,2010-01-19,83.800003,83.800003,82.766701,83.300003,61.21278,6295626.0
12,2010-01-20,83.333298,83.833298,82.083298,82.366699,60.526939,10432659.0
13,2010-01-21,82.5,83.383301,80.833298,81.5,59.89006,11734698.0
14,2010-01-22,81.0,84.566704,80.416702,83.033302,61.0168,46258872.0
15,2010-01-25,83.333298,85.433296,82.516701,85.033302,62.486481000000005,15803928.0
16,2010-01-27,84.5,86.349998,84.333298,85.300003,62.682472,35549841.0
17,2010-01-28,85.566704,85.666702,82.849998,84.75,62.278309,19603176.0
18,2010-01-29,84.5,85.583298,83.033302,83.383301,61.273991,15766656.0
19,2010-02-01,83.333298,84.183296,81.900002,82.166702,60.379974,12617925.0
20,2010-02-02,83.349998,83.349998,81.016701,81.466698,59.865584999999996,10822941.0
21,2010-02-03,81.666702,84.949997,81.166702,84.199997,61.874138,13888179.0
22,2010-02-04,84.0,84.916702,83.199997,84.449997,62.057854000000006,12115686.0
23,2010-02-05,84.0,84.433296,82.333298,82.783302,60.833084,18616515.0
25,2010-02-08,82.666702,82.733299,80.233299,81.783302,60.098240000000004,23410362.0
26,2010-02-09,81.800003,82.266701,80.916702,81.300003,59.743083999999996,12081411.0
27,2010-02-10,81.566704,82.0,80.699997,81.300003,59.743083999999996,8559072.0
28,2010-02-11,81.683296,82.633301,81.599998,82.383301,60.539139,6952629.0
29,2010-02-15,82.833298,83.333298,81.699997,83.116699,61.078087,6487740.0
30,2010-02-16,83.583298,83.833298,82.699997,83.383301,61.273991,6122928.0
31,2010-02-17,83.5,84.233299,83.150002,83.916702,61.665974,7889148.0
32,2010-02-18,84.066704,84.25,82.166702,82.75,60.80862,4007403.0
33,2010-02-19,83.099998,83.466698,81.933296,82.833298,60.869827,6003729.0
34,2010-02-22,83.25,83.583298,82.033302,82.533302,60.649372,6519765.0
35,2010-02-23,82.533302,83.316704,81.933296,83.083298,61.053546999999995,7205160.0
36,2010-02-24,82.783302,83.483299,82.266701,82.550003,60.661640000000006,8543616.0
37,2010-02-25,82.966698,83.166702,81.900002,82.533302,60.649372,14311632.0
38,2010-02-26,82.833298,84.133301,76.266701,77.416702,56.889458,70062642.0
39,2010-03-02,78.366699,81.400002,78.333298,80.650002,59.265446,29079219.0
40,2010-03-03,80.833298,82.083298,79.449997,81.233299,59.69406899999999,13051704.0
41,2010-03-04,82.300003,82.333298,81.0,82.016701,60.269749,12871173.0
42,2010-03-05,82.333298,82.333298,81.0,81.583298,59.951267,8292837.0
43,2010-03-08,81.916702,83.983299,81.833298,83.75,61.543465000000005,22483827.0
44,2010-03-09,83.916702,84.583298,83.199997,83.683296,61.494445999999996,9544842.0
45,2010-03-10,84.25,85.083298,83.449997,84.75,62.278309,11961912.0
46,2010-03-11,84.666702,85.966698,83.866699,85.216698,62.621272999999995,8748882.0
47,2010-03-12,85.666702,86.800003,85.083298,86.150002,63.307106000000005,16751451.0
48,2010-03-15,86.116699,87.233299,86.116699,86.449997,63.527542000000004,15357009.0
49,2010-03-16,86.733299,86.983299,84.75,86.599998,63.637779,7480236.0
50,2010-03-17,86.599998,88.133301,86.216698,87.616699,64.384895,12137355.0
51,2010-03-18,87.666702,88.233299,86.233299,87.083298,63.992931000000006,6491703.0
52,2010-03-19,86.833298,87.75,86.383301,87.099998,64.005196,7726920.0
53,2010-03-22,86.449997,87.300003,85.783302,87.199997,64.07867399999999,8909040.0
54,2010-03-23,86.833298,87.566704,85.400002,86.983299,63.919444999999996,9991815.0
55,2010-03-25,87.016701,88.816704,86.599998,88.25,64.850273,17237313.0
