,Date,Open,High,Low,Close,Adj Close,Volume
0,2010-01-04,1925.0,1975.0,1907.75,1962.449951,1866.9936519999999,6976.0
1,2010-01-05,2000.0,2065.0,1981.0,2045.0999760000002,1945.623291,19634.0
2,2010-01-06,2060.0,2454.100098,2031.1500239999998,2119.25,2016.1666260000002,29100.0
3,2010-01-07,2145.0,2323.649902,2125.100098,2252.649902,2143.0778809999997,36846.0
4,2010-01-08,2272.0,2315.0,2200.100098,2220.050049,2112.063232,16820.0
5,2010-01-11,2260.0,2350.0,2225.100098,2272.149902,2161.628662,34698.0
6,2010-01-12,2284.0,2284.0,2170.0,2184.350098,2078.100342,12655.0
7,2010-01-13,2174.899902,2225.0,2174.899902,2206.5,2099.172607,9520.0
8,2010-01-14,2216.0,2344.600098,2210.0,2258.5,2148.642822,13575.0
9,2010-01-15,2266.0,2279.949951,2207.0,2220.5,2112.4916989999997,7277.0
10,2010-01-18,2201.050049,2238.699951,2139.949951,2190.800049,2084.236084,21665.0
11,2010-01-19,2199.0,2236.0,2185.0,2185.800049,2079.479248,9780.0
12,2010-01-20,2201.0,2228.949951,2185.050049,2193.25,2086.567139,5778.0
13,2010-01-21,2175.0,2230.0,2090.0,2116.149902,2013.2169190000002,29461.0
14,2010-01-22,2096.149902,2125.0,2050.0,2087.550049,1986.008423,10850.0
15,2010-01-25,2100.0,2100.0,1990.800049,2018.9000239999998,1925.309082,8905.0
16,2010-01-27,2025.0,2025.0,1975.0,1987.800049,1895.650757,16648.0
17,2010-01-28,2010.0,2020.0,1971.0999760000002,1984.8499760000002,1892.8376460000002,4278.0
18,2010-01-29,1951.050049,2004.449951,1890.0,1972.5999760000002,1881.155396,10010.0
19,2010-02-01,1981.199951,2027.0,1930.0,1986.9000239999998,1894.79248,11717.0
20,2010-02-02,2040.0,2042.5,1980.0,1998.4000239999998,1905.7593989999998,6052.0
21,2010-02-03,2010.0,2025.0,1994.0,2001.5,1908.71582,2230.0
22,2010-02-04,1981.0,2014.949951,1950.0,1951.25,1860.7954100000002,4430.0
23,2010-02-05,1935.0,2010.0,1865.0,1947.25,1856.980591,7258.0
25,2010-02-08,1995.0,2065.0,1951.0,2004.800049,1911.862671,7680.0
26,2010-02-09,1985.0,2070.0,1970.0,1985.199951,1893.171143,8170.0
27,2010-02-10,2060.0,2084.0,1953.0,1963.4000239999998,1872.381836,100635.0
28,2010-02-11,1971.050049,2025.0,1970.0,1995.050049,1902.564575,24742.0
29,2010-02-15,2005.0,2018.0,1990.199951,1996.800049,1904.233765,2391.0
30,2010-02-16,2006.5,2040.0,1991.0,2028.699951,1934.654907,26271.0
31,2010-02-17,2040.0,2116.0,2040.0,2096.199951,1999.0255129999998,11051.0
32,2010-02-18,2100.0,2120.0,2075.0,2102.649902,2005.176636,8372.0
33,2010-02-19,2070.100098,2158.0,2050.0,2135.600098,2036.5989989999998,5569.0
34,2010-02-22,2160.0,2260.0,2149.0,2250.25,2145.934326,37371.0
35,2010-02-23,2270.0,2290.0,2136.0,2221.75,2118.755615,25713.0
36,2010-02-24,2275.5,2275.5,2181.0,2195.850098,2094.056641,14800.0
37,2010-02-25,2150.0,2233.949951,2100.0,2105.949951,2008.323486,14391.0
38,2010-02-26,2144.0,2170.0,2105.949951,2141.050049,2041.796509,8879.0
39,2010-03-02,2151.0,2192.5,2151.0,2179.149902,2078.130127,2562.0
40,2010-03-03,2185.0,2250.0,2185.0,2243.649902,2139.639893,7973.0
41,2010-03-04,2244.399902,2268.199951,2111.149902,2239.300049,2135.4921879999997,6690.0
42,2010-03-05,2257.0,2269.899902,2185.0,2204.0,2101.8283690000003,5962.0
43,2010-03-08,2279.949951,2279.949951,2221.0,2230.350098,2126.957275,5822.0
44,2010-03-09,2216.149902,2229.0,2180.5,2215.850098,2113.12915,13452.0
45,2010-03-10,2200.0,2243.949951,2190.0,2234.949951,2131.3435059999997,2909.0
46,2010-03-11,2078.550049,2279.0,2078.550049,2267.449951,2162.336914,9872.0
47,2010-03-12,2272.0,2298.0,2260.100098,2279.5,2173.8286129999997,3753.0
48,2010-03-15,2255.050049,2320.0,2255.050049,2312.199951,2205.012451,6814.0
49,2010-03-16,2320.0,2396.899902,2310.0,2322.350098,2214.691895,14911.0
