Date,Unnamed: 0,Open,High,Low,Close,Adj Close,Volume
2010-01-04,0,65.800003,68.995003,64.614998,67.565002,33.392639,410060.0
2010-01-05,1,66.625,68.5,65.004997,65.309998,32.278149,235170.0
2010-01-06,2,65.699997,66.5,64.230003,64.764999,32.008793,128710.0
2010-01-07,3,65.5,65.5,63.599998,63.860001,31.561516,85830.0
2010-01-08,4,66.050003,68.5,63.799999,64.720001,31.986553000000004,988000.0
2010-01-11,5,65.0,65.900002,63.68,64.315002,31.78639,1147460.0
2010-01-12,6,63.014999,64.389999,61.055,61.529999,30.409962,213100.0
2010-01-13,7,62.0,62.169998,60.305,60.77,30.034346000000006,126660.0
2010-01-14,8,62.84,62.84,60.5,60.794998,30.0467,172990.0
2010-01-15,9,61.900002,64.400002,61.5,62.845001,31.059875,454640.0
2010-01-18,10,62.900002,66.0,62.5,64.139999,31.6999,1306970.0
2010-01-19,11,64.199997,65.0,62.605,63.209999,31.240263,177520.0
2010-01-20,12,63.705002,63.98,61.529999,61.860001,30.573053,73470.0
2010-01-21,13,61.700001,63.389999,60.605,60.98,30.138134,101500.0
2010-01-22,14,61.200001,61.200001,59.130001,60.299999,29.802061,99660.0
2010-01-25,15,60.700001,61.384998,59.110001,59.555,29.433859,83170.0
2010-01-27,16,55.365002,60.0,55.365002,56.860001,28.10191,72060.0
2010-01-28,17,57.0,59.0,53.264999,57.605,28.470108000000003,618290.0
2010-01-29,18,59.049999,59.049999,55.799999,56.785,28.064838,53470.0
2010-02-01,19,57.5,60.049999,56.5,58.884998,29.102722,62190.0
2010-02-02,20,61.599998,61.599998,56.610001,57.189999,28.264997,62940.0
2010-02-03,21,57.5,58.785,57.16,57.575001,28.455286,38640.0
2010-02-04,22,57.0,58.0,55.099998,55.369999,27.365501,64520.0
2010-02-05,23,54.200001,55.099998,51.0,52.619999,26.006372,393790.0
2010-02-08,25,58.0,59.0,54.02,54.474998,26.923168,156380.0
2010-02-09,26,54.994999,56.0,54.299999,54.82,27.093679,78990.0
2010-02-10,27,55.689999,55.689999,53.514999,54.125,26.750189,52930.0
2010-02-11,28,54.0,56.400002,53.5,53.880001,26.629107,78590.0
2010-02-15,29,54.990002,55.860001,51.450001,51.849998,25.625818,286600.0
2010-02-16,30,52.384998,53.695,52.294998,52.75,26.070621,1165000.0
2010-02-17,31,53.485001,61.965,52.599998,59.119999,29.218866,3854610.0
2010-02-18,32,58.814999,60.700001,57.23,57.860001,28.596136,1901420.0
2010-02-19,33,57.400002,57.945,56.299999,57.029999,28.185925,264580.0
2010-02-22,34,58.990002,59.5,57.200001,58.200001,28.764181,375730.0
2010-02-23,35,57.200001,58.5,57.130001,57.849998,28.591198,126300.0
2010-02-24,36,57.330002,58.369999,57.330002,57.595001,28.465166,56180.0
2010-02-25,37,57.974998,58.299999,55.5,57.110001,28.225464,88270.0
2010-02-26,38,56.514999,59.59,56.424999,58.400002,28.863018,222210.0
2010-03-02,39,60.0,63.799999,60.0,62.990002,31.13154,723600.0
2010-03-03,40,67.099998,67.790001,63.0,66.974998,33.101044,1131190.0
2010-03-04,41,66.800003,66.800003,65.199997,65.504997,32.374523,231020.0
2010-03-05,42,65.800003,66.599998,63.060001,63.599998,35.19390900000001,165840.0
2010-03-08,43,67.885002,67.885002,63.0,63.145,34.942122999999995,152320.0
2010-03-09,44,64.599998,64.839996,62.275002,62.66,34.673744,220510.0
2010-03-10,45,62.799999,63.799999,61.564999,62.455002,34.56031,78130.0
2010-03-11,46,63.200001,63.799999,61.849998,62.700001,34.695881,72810.0
2010-03-12,47,63.0,63.400002,61.5,62.735001,34.715252,80500.0
2010-03-15,48,63.439999,63.439999,61.049999,62.205002,34.421966999999995,44900.0
2010-03-16,49,62.299999,63.5,61.400002,62.869999,34.789955,74440.0
2010-03-17,50,63.674999,63.674999,62.400002,62.540001,34.607346,30050.0
2010-03-18,51,62.200001,63.494999,62.200001,62.605,34.643318,59820.0
2010-03-19,52,62.494999,63.0,62.005001,62.459999,34.563076,58770.0
2010-03-22,53,63.494999,63.494999,60.5,61.505001,34.034611,128590.0
2010-03-23,54,60.0,63.185001,60.0,62.040001,34.330666,91080.0
2010-03-25,55,61.400002,62.5,60.825001,61.775002,34.184025,54780.0
2010-03-26,56,60.099998,62.799999,60.099998,62.0,34.308533000000004,50890.0
2010-03-29,57,61.625,62.5,61.110001,62.209999,34.424732,43950.0
